station_id,station_name,state,latitude,longitude,operator_id,last_verified,charger_count
272506,Tas Hydro Power Station Heritage Site,TASMANIA,-42.12462669442656,146.74664613345436,3339,2023-07-13T07:35:00Z,2
272504,Hotel Bruny,TASMANIA,-43.3217997269792,147.2422590158638,3339,2023-07-13T07:30:00Z,2
272501,Tuggeranong CSCC,ACT,-35.41502698377792,149.06342879909937,3398,2023-07-12T23:13:00Z,2
272500,Murrumbateman Country Inn,NEW SOUTH WALES,-34.96941392055333,149.03001688933142,3398,2023-09-18T05:45:00Z,2
272499,Evie Adelaide Hills,SOUTH AUSTRALIA,-35.00971247867212,138.75901747075886,3398,2023-07-13T03:54:00Z,3
272498,Evie Woden,ACT,-35.348299676937806,149.08890913353355,3398,2023-07-12T22:33:00Z,2
272497,Hotel REalm,ACT,-35.312198318325976,149.1333088744247,3398,2023-07-12T21:55:00Z,4
272496,Evie Dapto Mall,NEW SOUTH WALES,-34.49497612676224,150.79547723050382,3398,2023-07-12T21:47:00Z,4
272486,Evie Mildura,VICTORIA,-34.183567985291354,142.1585658445057,3398,2023-07-12T14:18:00Z,2
271067,Evie Wangaratta,VICTORIA,-36.35361729522813,146.3252141757206,3398,2023-07-10T02:38:00Z,2
271066,Charging the Regions Traralgon,VICTORIA,-38.19562583791989,146.5329076841424,3398,2025-01-09T08:52:00Z,2
271065,Evie Alexandra,VICTORIA,-37.19177622193456,145.71117802098246,3398,2023-07-22T23:09:00Z,2
271064,Evie Dunkeld,VICTORIA,-37.65017530125832,142.34254760364854,3398,2023-07-10T02:38:00Z,2
271063,Evie Camperdown,VICTORIA,-38.230321252822165,143.1458213510811,3398,2023-07-10T02:38:00Z,2
271062,Victoria Street,VICTORIA,-37.42305178823792,144.562626054862,3398,2023-07-10T02:38:00Z,2
271060,Evie Yarrawonga,VICTORIA,-36.010175172605514,146.00330137579863,3398,2023-07-10T02:38:00Z,2
271037,Evie Warracknabeal,VICTORIA,-36.25068312709375,142.39379449793637,3398,2023-07-10T02:38:00Z,2
271033,Evie Cohuna,VICTORIA,-35.80838371437618,144.22123701963017,3398,2023-07-10T02:38:00Z,2
271024,Evie Lakes Entrance,VICTORIA,-37.88192619723392,147.97348946515365,3398,2023-07-10T02:38:00Z,2
271022,Evie Meredith,VICTORIA,-37.84437816290739,144.0768346824019,3398,2023-07-10T02:38:00Z,2
