IsRecentlyVerified,DateLastVerified,ID,UUID,DataProviderID,OperatorID,UsageTypeID,Connections,NumberOfPoints,StatusTypeID,DateLastStatusUpdate,DataQualityLevel,DateCreated,SubmissionStatusTypeID,AddressInfo.ID,AddressInfo.Title,AddressInfo.AddressLine1,AddressInfo.Town,AddressInfo.StateOrProvince,AddressInfo.Postcode,AddressInfo.CountryID,AddressInfo.Latitude,AddressInfo.Longitude,AddressInfo.DistanceUnit,UsageCost,AddressInfo.AddressLine2,AddressInfo.AccessComments,AddressInfo.RelatedURL,GeneralComments,AddressInfo.ContactTelephone1,AddressInfo.ContactEmail,AddressInfo.ContactTelephone2
False,2024-11-14T15:49:00Z,306072,4B498211-4731-4CB5-A911-EADB1FD5B604,1,3625,4,"[{'ID': 580196, 'ConnectionTypeID': 33, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 180, 'CurrentTypeID': 30, 'Quantity': 1}, {'ID': 580197, 'ConnectionTypeID': 2, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 125, 'CurrentTypeID': 30, 'Quantity': 1}]",1.0,50,2024-11-14T15:49:00Z,1,2024-11-14T15:49:00Z,200,306461,Ampol Foodary North Yunderup,741 Pinjarra Rd,North Yunderup,WA,6208,18,-32.5671631849554,115.79829772601357,0,$0.60 per kWh,,,,,,,
False,2024-12-08T01:54:00Z,306018,E922546B-A2E0-47AC-87D8-DA7F20B3709F,1,3622,1,"[{'ID': 579764, 'ConnectionTypeID': 25, 'StatusTypeID': 50, 'LevelID': 2, 'Amps': 32, 'Voltage': 400, 'PowerKW': 22, 'CurrentTypeID': 20, 'Quantity': 2}]",1.0,50,2024-12-08T01:54:00Z,1,2024-11-11T10:49:00Z,200,306407,Redgrave Park,Loughnan Street,Coolamon,NSW,,18,-34.81320838371845,147.20146957248267,0,$0.25 each 30 mins plus $0.28/kWh,,,,Minimum price $0.50,,,
False,2024-12-08T01:54:00Z,306017,E6F4CEA1-E797-4DFC-BBEB-EA1BAAB8739B,1,3622,4,"[{'ID': 579763, 'ConnectionTypeID': 25, 'StatusTypeID': 50, 'LevelID': 2, 'PowerKW': 7, 'CurrentTypeID': 10, 'Quantity': 1}]",2.0,50,2024-12-08T01:54:00Z,1,2024-11-11T10:44:00Z,200,306406,Ganmain Craft Cottage,76 Ford Street,,New South Wales,2702,18,-34.79340665268592,147.03869475917048,0,$0.50 per hour plus $0.28/kWh,,This is in a carpark behind the craft shop.,,,,,
False,2024-12-08T01:54:00Z,306016,6DAB807E-A2F4-45FF-B7EA-770B12F6BAD2,1,3609,4,"[{'ID': 579761, 'ConnectionTypeID': 33, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 25, 'CurrentTypeID': 30, 'Quantity': 1}, {'ID': 579762, 'ConnectionTypeID': 2, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 25, 'CurrentTypeID': 30, 'Quantity': 1, 'Comments': 'Only one charging cable can be used at once'}]",1.0,50,2024-12-08T01:54:00Z,1,2024-11-11T10:37:00Z,200,306405,Middy's Wagga East,Stuart Road,,New South Wales,2650,18,-35.123640112987474,147.3992802491099,0,$0.35/kWh,East Wagga Wagga,,,,,,
False,2024-12-08T01:54:00Z,306015,D3015427-ACDF-4CDE-B4A6-28A9AF74AD9C,1,3339,4,"[{'ID': 579760, 'ConnectionTypeID': 33, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 24, 'CurrentTypeID': 30, 'Quantity': 1}]",1.0,50,2024-12-08T01:54:00Z,1,2024-11-11T10:25:00Z,200,306404,Griffith City Volkswagen,Kurrajong Avenue,,New South Wales,2680,18,-34.30220873271793,146.0827951103297,0,$0.40/kWh,Yoogali,,,,,,
False,2024-11-14T09:54:00Z,306014,8A6B1087-1905-4678-B134-CB9713F8C46E,1,3339,4,"[{'ID': 579759, 'ConnectionTypeID': 33, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 50, 'CurrentTypeID': 30, 'Quantity': 2}]",2.0,50,2024-11-14T09:54:00Z,1,2024-11-11T10:21:00Z,200,306403,Owen Toyota,Owen Drive,,New South Wales,2680,18,-34.299877486665665,146.0781598113113,0,$0.40/kWh,Yoogali,,,,,,
False,2024-12-08T01:54:00Z,306013,69630032-91B9-4C2F-B5EF-590872DA49D4,1,3534,4,"[{'ID': 579758, 'ConnectionTypeID': 33, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 250, 'CurrentTypeID': 30, 'Quantity': 6}]",6.0,50,2024-12-08T01:54:00Z,1,2024-11-11T10:18:00Z,200,306402,Griffith Leagues Club Southside,2 Bridge Road,Griffith,NSW,2680,18,-34.29247666125356,146.05114295544826,0,up to $0.92/kWh,,,,,,,
False,2024-11-12T01:29:00Z,305980,EC9A011A-394A-4D17-9C78-27C6CFFA8EED,1,3388,1,"[{'ID': 579531, 'ConnectionTypeID': 33, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 150, 'CurrentTypeID': 30, 'Quantity': 3}, {'ID': 579532, 'ConnectionTypeID': 2, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 150, 'CurrentTypeID': 30, 'Quantity': 1}]",4.0,50,2024-11-12T01:29:00Z,1,2024-11-09T01:28:00Z,200,306369,NRMA Ararat,Taylor Street,Ararat,Victoria,3377,18,-37.28516365724295,142.92645264670017,0,66c / 60c for members,,,,,,,
False,2024-11-12T01:24:00Z,305979,7020C89D-D467-4913-A427-E648CACAB912,1,3388,1,"[{'ID': 579529, 'ConnectionTypeID': 33, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 180, 'CurrentTypeID': 30, 'Quantity': 3}, {'ID': 579530, 'ConnectionTypeID': 2, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 180, 'CurrentTypeID': 30, 'Quantity': 1}]",4.0,50,2024-11-12T01:24:00Z,1,2024-11-09T01:22:00Z,200,306368,NRMA Marong,32 High Street,Marong,Victoria,3515,18,-36.73546633080104,144.13398199267476,0,66c / 60c for members,,,,,,,
False,2024-11-12T01:19:00Z,305978,90BB449B-879C-488C-BDEF-C5360AE9C3E0,1,3388,1,"[{'ID': 579527, 'ConnectionTypeID': 33, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 150, 'CurrentTypeID': 30, 'Quantity': 3}, {'ID': 579528, 'ConnectionTypeID': 2, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 150, 'CurrentTypeID': 30, 'Quantity': 1}]",4.0,50,2024-11-12T01:19:00Z,1,2024-11-09T01:17:00Z,200,306367,NRMA Wycheproof,361 Broadway,Wycheproof,Victoria,3527,18,-36.07623961780974,143.22518416666645,0,66c / 60c for members,,,,,,,
